行番号,原文,訳文,類似文1原文,類似文1訳文,類似文2原文,類似文2訳文,備考
1,世界統計から見る景気,,世界統計から[REPLACE]見[/REPLACE]る景気,Economic Trends from Global Statistics,,,
3,<run1>アストラ国の経済成長率は5.8％に達し、昨年の4.2％を大きく上回りました。これにより、国内の雇用が増え、失業率は</run1><run2>3.4％</run2>まで下がりました。,,,,,,
4,<run1>イモリア国の経済成長率は5.</run1><run2>8</run2>％に達し、昨年の4.<run3>2％を大きく上回りました</run3><run4>が、政治不安も広がっています。</run4>国内の雇用<run5>は減り</run5>、失業率は<run6>3.4％</run6><run7>まで上が</run7>りました。,,,,,,
5,<run1>ウソランド国の経済成長率は5.9％で</run1><run2>、昨年の5</run2>.<run3>8％</run3><run4>と比べて横ばいです</run4>。国内の雇用<run5>も変わらず、失業率は3.4％となっています</run5>。,,,,,,
6,<run1>エモリア国の経済成長率は4</run1>.9％で、昨年の<run2>4</run2><run3>.8％と比べて横ばいです。国内の雇用も変わらず、失業率は3.4％となっています。</run3>,,,,,,
7,エモリア国の経済成長率は4.9％で、昨年の4.8％と比べて横ばいです。国内の雇用も変わらず、失業率は3.4％となっています。,,,,,,
8,オヨヨヨ国の経済成長率は-5.9％で、昨年の-5.8％と横ばいです。国内の雇用も変わらず、失業率は33.4％となっています。,,,,,,
9,<run1>オヨヨヨヨ国の経済成長率は</run1>、昨年<run2>と同様に不明</run2>です。国内の雇用<run3>情勢は不明です。</run3>,,,,,,
10,国家間比較,,国家間比較,Comparison Between Nations,,,
11,アストラ国とイモリア国を比べると、経済は似ていますが、政治的安定性は大きく異なります。,,アストラ国とイモリア国を比べると、経済は似ていますが、政治的安定性は大きく異なります。,"When comparing Astra and Imoria, their economic growth is similar, but their levels of political stability differ significantly.",,,
12,イモリア国とエモリア国を比べると、数字は似ていてもエモリア国の方がイモリア国と比べて人気が高くなっています。,,イモリア国とエモリア国を比べると、数字は似ていてもエモリア国の方がイモリア国と比べて人気が高くなっています。,"Comparing Imoria and Emorie, the figures appear similar, but Emorie enjoys higher popularity compared to Imoria.",,,
13,オヨヨヨ国はアストラ国、イモリア国、ウソランド国、エモリア国のどこと比べても驚くべき不況に陥っています。一方でオヨヨヨヨ国は、オヨヨヨ国と異なり、厳しい情報統制が敷かれており、景気を読むことができません。,,,,,,
EOF,,,,,,,
